"gene1","gene2","pValue","oddsRatio","00","11","01","10","pAdj","Event","pair","event_ratio"
"ZFHX4","FAT3",0.124296566831332,2.27765735641587,907,4,37,43,0.213075569666405,"Co_Occurence","FAT3, ZFHX4","4/80"
"MAP3K1","GATA3",0.12443613268518,0.509659283243293,788,6,119,78,0.213075569666405,"Mutually_Exclusive","GATA3, MAP3K1","6/197"
"SPTA1","NEB",0.125197942570905,2.27053528377858,907,4,38,42,0.213211755059443,"Co_Occurence","NEB, SPTA1","4/80"
"NF1","NCOR1",0.128357071742644,2.2483894101598,906,4,46,35,0.217406964333747,"Co_Occurence","NCOR1, NF1","4/81"
"KMT2C","RYR2",0.130401234783808,1.89737623971816,859,8,47,77,0.219678630026631,"Co_Occurence","KMT2C, RYR2","8/124"
"USH2A","NF1",0.135451365846642,2.19811876407424,905,4,35,47,0.226962744381102,"Co_Occurence","NF1, USH2A","4/82"
"SYNE2","NCOR1",0.137512047972146,2.18356614302525,905,4,46,36,0.229186746620244,"Co_Occurence","NCOR1, SYNE2","4/82"
"ZFHX4","MUC17",0.141480746969987,2.15629567544839,905,4,39,43,0.234550309963506,"Co_Occurence","MUC17, ZFHX4","4/82"
"KMT2C","RUNX1",0.145465356888619,1.94623157701743,872,6,34,79,0.239883504103922,"Co_Occurence","KMT2C, RUNX1","6/113"
"GATA3","CDH1",0.156383509872034,0.600136067616047,746,11,120,114,0.25527531153908,"Mutually_Exclusive","CDH1, GATA3","11/234"
"NEB","CDH1",0.15705799254528,1.84726739595041,827,9,122,33,0.25527531153908,"Co_Occurence","CDH1, NEB","9/155"
"CDH1","MUC16",0.157249591908073,1.53120947136273,779,18,81,113,0.25527531153908,"Co_Occurence","CDH1, MUC16","18/194"
"LRP2","PTEN",0.160476315833322,2.0433722755494,902,4,49,36,0.259167176733402,"Co_Occurence","LRP2, PTEN","4/85"
"DMD","MAP3K1",0.168608635785255,0.242289424756483,864,1,83,43,0.270900764436464,"Mutually_Exclusive","DMD, MAP3K1","1/126"
"CDH1","TTN",0.170060970051445,1.38572098285063,719,28,141,103,0.271836588956913,"Co_Occurence","CDH1, TTN","28/244"
"RUNX1","MUC16",0.171312716454242,0.22337746830885,853,1,98,39,0.272443887490843,"Mutually_Exclusive","MUC16, RUNX1","1/137"
"PIK3CA","MUC16",0.178972076938612,1.36470559948682,596,40,59,296,0.283183666042108,"Co_Occurence","MUC16, PIK3CA","40/355"
"PTEN","NCOR1",0.182097301067612,2.06510673554051,893,5,45,48,0.286677111252537,"Co_Occurence","NCOR1, PTEN","5/93"
"MUC17","MUC16",0.186609939411786,1.80780900331695,856,7,92,36,0.292308802336758,"Co_Occurence","MUC16, MUC17","7/128"
"HMCN1","TP53",0.203886354816964,1.43286850505031,616,25,316,34,0.317777984440406,"Co_Occurence","HMCN1, TP53","25/350"
"RUNX1","LRP2",0.215906707964182,2.00103761158155,914,3,37,37,0.334842909373731,"Co_Occurence","LRP2, RUNX1","3/74"
"MAP3K1","TTN",0.225736526115592,0.635998295256866,748,10,159,74,0.348229796063961,"Mutually_Exclusive","MAP3K1, TTN","10/233"
"RUNX1","FAT3",0.226767243196851,1.94635092734081,913,3,38,37,0.348229796063961,"Co_Occurence","FAT3, RUNX1","3/75"
"MUC16","PTEN",0.233607474584649,1.65369266434752,847,8,45,91,0.356979637201481,"Co_Occurence","MUC16, PTEN","8/136"
"TP53","RUNX1",0.236251069126993,0.624645106988261,620,10,30,331,0.35698431626622,"Mutually_Exclusive","RUNX1, TP53","10/361"
"MUC17","NF1",0.236909629767827,1.8984179541313,912,3,36,40,0.35698431626622,"Co_Occurence","MUC17, NF1","3/76"
"RUNX1","NEB",0.237740047930037,1.89447912688618,912,3,39,37,0.35698431626622,"Co_Occurence","NEB, RUNX1","3/76"
"PIK3CA","SYNE2",0.238179935812822,1.4638149453092,632,17,23,319,0.35698431626622,"Co_Occurence","PIK3CA, SYNE2","17/342"
